,price_eur_mwh
2023-01-01 00:00:00+01:00,-4.39
2023-01-01 01:00:00+01:00,-1.75
2023-01-01 02:00:00+01:00,-1.46
2023-01-01 03:00:00+01:00,-5.27
2023-01-01 04:00:00+01:00,-4.41
2023-01-01 05:00:00+01:00,-5.4
2023-01-01 06:00:00+01:00,-4.69
2023-01-01 07:00:00+01:00,-1.31
2023-01-01 08:00:00+01:00,-1.57
2023-01-01 09:00:00+01:00,-1.03
2023-01-01 10:00:00+01:00,-0.23
2023-01-01 11:00:00+01:00,-0.74
2023-01-01 12:00:00+01:00,-0.57
2023-01-01 13:00:00+01:00,-0.12
2023-01-01 14:00:00+01:00,0.85
2023-01-01 15:00:00+01:00,23.5
2023-01-01 16:00:00+01:00,36.54
2023-01-01 17:00:00+01:00,46.03
2023-01-01 18:00:00+01:00,36.64
2023-01-01 19:00:00+01:00,54.95
2023-01-01 20:00:00+01:00,45.83
2023-01-01 21:00:00+01:00,36.57
2023-01-01 22:00:00+01:00,45.96
2023-01-01 23:00:00+01:00,35.0
2023-01-02 00:00:00+01:00,69.92
2023-01-02 01:00:00+01:00,59.14
2023-01-02 02:00:00+01:00,52.93
2023-01-02 03:00:00+01:00,42.59
2023-01-02 04:00:00+01:00,50.08
2023-01-02 05:00:00+01:00,69.72
2023-01-02 06:00:00+01:00,105.08
2023-01-02 07:00:00+01:00,140.64
2023-01-02 08:00:00+01:00,151.89
2023-01-02 09:00:00+01:00,158.84
2023-01-02 10:00:00+01:00,145.61
2023-01-02 11:00:00+01:00,143.35
2023-01-02 12:00:00+01:00,144.38
2023-01-02 13:00:00+01:00,143.76
2023-01-02 14:00:00+01:00,148.2
2023-01-02 15:00:00+01:00,155.34
2023-01-02 16:00:00+01:00,163.3
2023-01-02 17:00:00+01:00,175.81
2023-01-02 18:00:00+01:00,174.74
2023-01-02 19:00:00+01:00,166.45
2023-01-02 20:00:00+01:00,153.0
2023-01-02 21:00:00+01:00,141.67
2023-01-02 22:00:00+01:00,134.91
2023-01-02 23:00:00+01:00,124.22
2023-01-03 00:00:00+01:00,130.01
2023-01-03 01:00:00+01:00,120.0
2023-01-03 02:00:00+01:00,118.76
2023-01-03 03:00:00+01:00,115.0
2023-01-03 04:00:00+01:00,113.63
2023-01-03 05:00:00+01:00,116.27
2023-01-03 06:00:00+01:00,138.92
2023-01-03 07:00:00+01:00,159.92
2023-01-03 08:00:00+01:00,169.17
2023-01-03 09:00:00+01:00,171.18
2023-01-03 10:00:00+01:00,168.57
2023-01-03 11:00:00+01:00,169.49
2023-01-03 12:00:00+01:00,164.5
2023-01-03 13:00:00+01:00,160.91
2023-01-03 14:00:00+01:00,163.06
2023-01-03 15:00:00+01:00,166.64
2023-01-03 16:00:00+01:00,166.64
2023-01-03 17:00:00+01:00,170.95
2023-01-03 18:00:00+01:00,168.97
2023-01-03 19:00:00+01:00,160.99
2023-01-03 20:00:00+01:00,149.62
2023-01-03 21:00:00+01:00,131.04
2023-01-03 22:00:00+01:00,114.69
2023-01-03 23:00:00+01:00,93.76
2023-01-04 00:00:00+01:00,80.17
2023-01-04 01:00:00+01:00,69.32
2023-01-04 02:00:00+01:00,39.58
2023-01-04 03:00:00+01:00,2.62
2023-01-04 04:00:00+01:00,0.85
2023-01-04 05:00:00+01:00,11.02
2023-01-04 06:00:00+01:00,61.03
2023-01-04 07:00:00+01:00,94.6
2023-01-04 08:00:00+01:00,134.16
2023-01-04 09:00:00+01:00,129.64
2023-01-04 10:00:00+01:00,120.7
2023-01-04 11:00:00+01:00,100.24
2023-01-04 12:00:00+01:00,105.03
2023-01-04 13:00:00+01:00,106.0
2023-01-04 14:00:00+01:00,105.07
2023-01-04 15:00:00+01:00,103.9
2023-01-04 16:00:00+01:00,107.98
2023-01-04 17:00:00+01:00,122.35
2023-01-04 18:00:00+01:00,139.93
2023-01-04 19:00:00+01:00,129.49
2023-01-04 20:00:00+01:00,105.89
2023-01-04 21:00:00+01:00,90.61
2023-01-04 22:00:00+01:00,87.92
2023-01-04 23:00:00+01:00,78.19
2023-01-05 00:00:00+01:00,34.78
2023-01-05 01:00:00+01:00,31.42
2023-01-05 02:00:00+01:00,33.1
2023-01-05 03:00:00+01:00,14.56
2023-01-05 04:00:00+01:00,22.19
2023-01-05 05:00:00+01:00,41.2
2023-01-05 06:00:00+01:00,78.53
2023-01-05 07:00:00+01:00,127.98
2023-01-05 08:00:00+01:00,141.02
2023-01-05 09:00:00+01:00,147.18
2023-01-05 10:00:00+01:00,149.81
2023-01-05 11:00:00+01:00,147.46
2023-01-05 12:00:00+01:00,143.17
2023-01-05 13:00:00+01:00,143.79
2023-01-05 14:00:00+01:00,151.03
2023-01-05 15:00:00+01:00,159.48
2023-01-05 16:00:00+01:00,172.73
2023-01-05 17:00:00+01:00,182.34
2023-01-05 18:00:00+01:00,194.67
2023-01-05 19:00:00+01:00,177.98
2023-01-05 20:00:00+01:00,163.99
2023-01-05 21:00:00+01:00,152.0
2023-01-05 22:00:00+01:00,144.64
2023-01-05 23:00:00+01:00,127.0
2023-01-06 00:00:00+01:00,107.21
2023-01-06 01:00:00+01:00,101.1
2023-01-06 02:00:00+01:00,96.73
2023-01-06 03:00:00+01:00,81.37
2023-01-06 04:00:00+01:00,75.64
2023-01-06 05:00:00+01:00,80.06
2023-01-06 06:00:00+01:00,97.25
2023-01-06 07:00:00+01:00,107.11
2023-01-06 08:00:00+01:00,122.94
2023-01-06 09:00:00+01:00,152.77
2023-01-06 10:00:00+01:00,158.39
2023-01-06 11:00:00+01:00,144.18
2023-01-06 12:00:00+01:00,126.89
2023-01-06 13:00:00+01:00,120.05
2023-01-06 14:00:00+01:00,134.84
2023-01-06 15:00:00+01:00,144.04
2023-01-06 16:00:00+01:00,140.12
2023-01-06 17:00:00+01:00,155.93
2023-01-06 18:00:00+01:00,163.5
2023-01-06 19:00:00+01:00,146.74
2023-01-06 20:00:00+01:00,139.39
2023-01-06 21:00:00+01:00,131.89
2023-01-06 22:00:00+01:00,129.94
2023-01-06 23:00:00+01:00,121.34
2023-01-07 00:00:00+01:00,97.3
2023-01-07 01:00:00+01:00,98.12
2023-01-07 02:00:00+01:00,94.88
2023-01-07 03:00:00+01:00,78.04
2023-01-07 04:00:00+01:00,75.43
2023-01-07 05:00:00+01:00,67.65
2023-01-07 06:00:00+01:00,74.37
2023-01-07 07:00:00+01:00,91.14
2023-01-07 08:00:00+01:00,109.89
2023-01-07 09:00:00+01:00,112.74
2023-01-07 10:00:00+01:00,99.63
2023-01-07 11:00:00+01:00,87.15
2023-01-07 12:00:00+01:00,87.17
2023-01-07 13:00:00+01:00,71.93
2023-01-07 14:00:00+01:00,89.84
2023-01-07 15:00:00+01:00,83.27
2023-01-07 16:00:00+01:00,87.76
2023-01-07 17:00:00+01:00,98.24
2023-01-07 18:00:00+01:00,101.46
2023-01-07 19:00:00+01:00,96.54
2023-01-07 20:00:00+01:00,89.32
2023-01-07 21:00:00+01:00,62.98
2023-01-07 22:00:00+01:00,51.25
2023-01-07 23:00:00+01:00,38.8
2023-01-08 00:00:00+01:00,11.4
2023-01-08 01:00:00+01:00,8.79
2023-01-08 02:00:00+01:00,8.85
2023-01-08 03:00:00+01:00,3.14
2023-01-08 04:00:00+01:00,-1.45
2023-01-08 05:00:00+01:00,4.09
2023-01-08 06:00:00+01:00,8.11
2023-01-08 07:00:00+01:00,13.58
2023-01-08 08:00:00+01:00,50.0
2023-01-08 09:00:00+01:00,82.57
2023-01-08 10:00:00+01:00,93.78
2023-01-08 11:00:00+01:00,103.87
2023-01-08 12:00:00+01:00,101.69
2023-01-08 13:00:00+01:00,99.0
2023-01-08 14:00:00+01:00,104.29
2023-01-08 15:00:00+01:00,100.0
2023-01-08 16:00:00+01:00,100.89
2023-01-08 17:00:00+01:00,116.0
2023-01-08 18:00:00+01:00,122.55
2023-01-08 19:00:00+01:00,109.32
2023-01-08 20:00:00+01:00,104.23
2023-01-08 21:00:00+01:00,98.6
2023-01-08 22:00:00+01:00,99.34
2023-01-08 23:00:00+01:00,81.29
2023-01-09 00:00:00+01:00,75.13
2023-01-09 01:00:00+01:00,64.38
2023-01-09 02:00:00+01:00,60.28
2023-01-09 03:00:00+01:00,39.41
2023-01-09 04:00:00+01:00,30.0
2023-01-09 05:00:00+01:00,43.99
2023-01-09 06:00:00+01:00,86.34
2023-01-09 07:00:00+01:00,160.0
2023-01-09 08:00:00+01:00,180.0
2023-01-09 09:00:00+01:00,177.19
2023-01-09 10:00:00+01:00,159.22
2023-01-09 11:00:00+01:00,160.78
2023-01-09 12:00:00+01:00,139.57
2023-01-09 13:00:00+01:00,135.0
2023-01-09 14:00:00+01:00,137.1
2023-01-09 15:00:00+01:00,149.16
2023-01-09 16:00:00+01:00,161.26
2023-01-09 17:00:00+01:00,174.11
2023-01-09 18:00:00+01:00,182.18
2023-01-09 19:00:00+01:00,171.0
2023-01-09 20:00:00+01:00,160.86
2023-01-09 21:00:00+01:00,139.01
2023-01-09 22:00:00+01:00,132.0
2023-01-09 23:00:00+01:00,108.31
2023-01-10 00:00:00+01:00,106.0
2023-01-10 01:00:00+01:00,96.74
2023-01-10 02:00:00+01:00,95.22
2023-01-10 03:00:00+01:00,90.28
2023-01-10 04:00:00+01:00,95.6
2023-01-10 05:00:00+01:00,108.6
2023-01-10 06:00:00+01:00,138.35
2023-01-10 07:00:00+01:00,156.0
2023-01-10 08:00:00+01:00,187.78
2023-01-10 09:00:00+01:00,184.82
2023-01-10 10:00:00+01:00,158.93
2023-01-10 11:00:00+01:00,147.6
2023-01-10 12:00:00+01:00,141.96
2023-01-10 13:00:00+01:00,142.44
2023-01-10 14:00:00+01:00,145.66
2023-01-10 15:00:00+01:00,146.48
2023-01-10 16:00:00+01:00,141.45
2023-01-10 17:00:00+01:00,147.9
2023-01-10 18:00:00+01:00,144.74
2023-01-10 19:00:00+01:00,141.07
2023-01-10 20:00:00+01:00,124.84
2023-01-10 21:00:00+01:00,101.9
2023-01-10 22:00:00+01:00,83.36
2023-01-10 23:00:00+01:00,44.62
2023-01-11 00:00:00+01:00,5.64
2023-01-11 01:00:00+01:00,0.31
2023-01-11 02:00:00+01:00,0.27
2023-01-11 03:00:00+01:00,-0.08
2023-01-11 04:00:00+01:00,-1.04
2023-01-11 05:00:00+01:00,2.89
2023-01-11 06:00:00+01:00,60.01
2023-01-11 07:00:00+01:00,94.29
2023-01-11 08:00:00+01:00,141.99
2023-01-11 09:00:00+01:00,145.72
2023-01-11 10:00:00+01:00,133.22
2023-01-11 11:00:00+01:00,131.12
2023-01-11 12:00:00+01:00,119.16
2023-01-11 13:00:00+01:00,110.16
2023-01-11 14:00:00+01:00,115.66
2023-01-11 15:00:00+01:00,118.06
2023-01-11 16:00:00+01:00,120.81
2023-01-11 17:00:00+01:00,133.79
2023-01-11 18:00:00+01:00,133.87
2023-01-11 19:00:00+01:00,130.09
2023-01-11 20:00:00+01:00,117.35
2023-01-11 21:00:00+01:00,94.87
2023-01-11 22:00:00+01:00,92.5
2023-01-11 23:00:00+01:00,69.3
2023-01-12 00:00:00+01:00,28.92
2023-01-12 01:00:00+01:00,8.4
2023-01-12 02:00:00+01:00,6.74
2023-01-12 03:00:00+01:00,1.35
2023-01-12 04:00:00+01:00,3.72
2023-01-12 05:00:00+01:00,26.51
2023-01-12 06:00:00+01:00,87.33
2023-01-12 07:00:00+01:00,115.35
2023-01-12 08:00:00+01:00,119.43
2023-01-12 09:00:00+01:00,119.49
2023-01-12 10:00:00+01:00,102.84
2023-01-12 11:00:00+01:00,99.46
2023-01-12 12:00:00+01:00,90.47
2023-01-12 13:00:00+01:00,92.4
2023-01-12 14:00:00+01:00,100.0
2023-01-12 15:00:00+01:00,101.47
2023-01-12 16:00:00+01:00,101.91
2023-01-12 17:00:00+01:00,122.21
2023-01-12 18:00:00+01:00,137.37
2023-01-12 19:00:00+01:00,118.9
2023-01-12 20:00:00+01:00,114.96
2023-01-12 21:00:00+01:00,86.57
2023-01-12 22:00:00+01:00,74.51
2023-01-12 23:00:00+01:00,42.35
2023-01-13 00:00:00+01:00,33.81
2023-01-13 01:00:00+01:00,18.81
2023-01-13 02:00:00+01:00,11.92
2023-01-13 03:00:00+01:00,2.75
2023-01-13 04:00:00+01:00,3.44
2023-01-13 05:00:00+01:00,25.86
2023-01-13 06:00:00+01:00,55.87
2023-01-13 07:00:00+01:00,89.58
2023-01-13 08:00:00+01:00,109.99
2023-01-13 09:00:00+01:00,104.9
2023-01-13 10:00:00+01:00,96.91
2023-01-13 11:00:00+01:00,88.63
2023-01-13 12:00:00+01:00,78.88
2023-01-13 13:00:00+01:00,72.17
2023-01-13 14:00:00+01:00,75.11
2023-01-13 15:00:00+01:00,81.5
2023-01-13 16:00:00+01:00,87.58
2023-01-13 17:00:00+01:00,118.77
2023-01-13 18:00:00+01:00,133.8
2023-01-13 19:00:00+01:00,128.61
2023-01-13 20:00:00+01:00,119.07
2023-01-13 21:00:00+01:00,116.51
2023-01-13 22:00:00+01:00,124.06
2023-01-13 23:00:00+01:00,93.28
2023-01-14 00:00:00+01:00,76.0
2023-01-14 01:00:00+01:00,74.48
2023-01-14 02:00:00+01:00,68.26
2023-01-14 03:00:00+01:00,48.95
2023-01-14 04:00:00+01:00,42.86
2023-01-14 05:00:00+01:00,42.5
2023-01-14 06:00:00+01:00,46.1
2023-01-14 07:00:00+01:00,54.9
2023-01-14 08:00:00+01:00,60.65
2023-01-14 09:00:00+01:00,69.68
2023-01-14 10:00:00+01:00,68.0
2023-01-14 11:00:00+01:00,72.53
2023-01-14 12:00:00+01:00,68.27
2023-01-14 13:00:00+01:00,46.9
2023-01-14 14:00:00+01:00,50.91
2023-01-14 15:00:00+01:00,37.86
2023-01-14 16:00:00+01:00,42.97
2023-01-14 17:00:00+01:00,62.33
2023-01-14 18:00:00+01:00,68.56
2023-01-14 19:00:00+01:00,69.78
2023-01-14 20:00:00+01:00,62.1
2023-01-14 21:00:00+01:00,48.07
2023-01-14 22:00:00+01:00,46.27
2023-01-14 23:00:00+01:00,36.07
